PartNumber,PartDescription,active,ItemCost,ItemCurrencyCode,Length,Width,Height,DimensionUOM,Weight,WeightUOM,Quantity
05-0344-01,"OP PAS,Crom.disp.comp.positive 250ps/nm-",TRUE,2016,USD,,,,,,,0
05-0345-01,"OP PAS,Crom.disp.comp.positive 300ps/nm-",TRUE,2391,USD,,,,,,,0
05-0348-01,"OP PAS,Crom.disp.comp.positive 450ps/nm-",TRUE,3024,USD,,,,,,,0
05-0349-01,"OP PAS,Crom.disp.comp.positive 500ps/nm-",TRUE,3276,USD,,,,,,,0
05-0350-01,"OP PAS,Crom.disp.comp.positive 100ps/nm-",TRUE,1262,USD,,,,,,,0
05-0351-01,"OP PAS,Crom.disp.comp.negative 150ps/nm-",TRUE,1159,USD,,,,,,,0
05-0352-01,"OP PAS,Crom.disp.comp.negative 200ps/nm-",TRUE,1519,USD,,,,,,,0
05-0353-01,"OP PAS,Crom.disp.comp.negative 250ps/nm-",TRUE,1449,USD,,,,,,,0
05-0354-01,"OP PAS,Crom.disp.comp.negative 300ps/nm-",TRUE,2012,USD,,,,,,,0
05-0355-01,"OP PAS,Crom.disp.comp.negative 350ps/nm-",TRUE,2199,USD,,,,,,,0
05-0356-01,"OP PAS,Crom.disp.comp.negative 400ps/nm-",TRUE,2466,USD,,,,,,,0
05-0357-01,"OP PAS,Crom.disp.comp.negative 450ps/nm-",TRUE,2461,USD,,,,,,,0
05-0358-01,"OP PAS,Crom.disp.comp.negative 500ps/nm-",TRUE,2643,USD,,,,,,,0
05-0359-01,"OP PAS,Crom.disp.comp.negative 600ps/nm-",TRUE,2464,USD,,,,,,,0
05-0360-01,"OP PAS,Crom.disp.comp.negative 50ps/nm-1",TRUE,883,USD,,,,,,,0
05-0361-01,"OP PAS,Crom.disp.comp.negative 550ps/nm-",TRUE,3220,USD,,,,,,,0
05-0362-01,"OP PAS,Crom.disp.comp.negative 650ps/nm-",TRUE,3651,USD,,,,,,,0
05-0363-01,"OP PAS,Crom.disp.comp.negative 100ps/nm-",TRUE,1204,USD,,,,,,,0
05-0364-01,"OP PAS,Crom.disp.comp.negative 100ps/nm-",TRUE,925,USD,,,,,,,0
05-0365-01,"OP PAS,Crom.disp.comp.negative 50ps/nm-1",TRUE,913,USD,,,,,,,0
05-0366-01,"OP PAS,CDC FIB POS 050ps/nm 1532nm BW:B",TRUE,1008,USD,,,,,,,0
05-0367-01,"OP PAS,Crom.disp.comp.positive 100ps/nm-",TRUE,1260,USD,,,,,,,0
05-0368-01,"OP PAS,Crom.disp.comp.negative 550ps/nm-",TRUE,2705,USD,,,,,,,0
05-0369-01,"OP PAS,CDC FIB NEG 600ps/nm 1532nm BW:B",TRUE,4048,USD,,,,,,,0
05-0371-01,"OP PAS,Crom.disp.comp.positive 50ps/nm-1",TRUE,1008,USD,,,,,,,0
05-0372-01,"OP PAS,SPLITTER SM 1x2 13101550 BW80nm I",TRUE,17.8,USD,,,,,,,0
05-0373-01,"OP PAS,ASM SPLT. SM 1x2 5/95 1310/1550nm",TRUE,16.64,USD,,,,,,,0
05-0377-01,"OP PAS,SWITCH OPTMECH 1x2 IL1.5dB X.T.-6",TRUE,273.6,USD,,,,,,,0
05-0380-01,"OP PAS,Crom.disp.comp.negative 700ps/nm-",TRUE,3863,USD,,,,,,,0
05-0381-01,"OP PAS,Crom.disp.comp.negative 750ps/nm-",TRUE,2899,USD,,,,,,,0
05-0382-01,"OP PAS,Crom.disp.comp.negative 800ps/nm-",TRUE,4137,USD,,,,,,,0
05-0405-01,"OP PAS,CDC FIB NEG 700ps/nm 1532nm BW:B",TRUE,4024,USD,,,,,,,0
05-0406-01,"OP PAS,Crom.disp.comp.negative 750ps/nm-",TRUE,4093,USD,,,,,,,0
05-0407-01,"OP PAS,CDC FIB NEG 800ps/nm 1532nm BW:B",TRUE,5235,USD,,,,,,,0
05-0409-01,"OP PAS,CDC FIB NEG 900ps/nm 1532nm BW:B",TRUE,6650,USD,,,,,,,0
05-0410-01,"OP PAS,CDC FIB NEG 950ps/nm 1532nm BW:B",TRUE,6650,USD,,,,,,,0
05-0411-01,"OP PAS,Crom.disp.comp.negative 1000ps/nm",TRUE,5672,USD,,,,,,,0
05-0412-01,"OP PAS,CDC FIB NEG 1050ps/nm 1532nm BW:B",TRUE,6866,USD,,,,,,,0
05-0413-01,"OP PAS,Crom.disp.comp.negative 1100ps/nm",TRUE,6009,USD,,,,,,,0
05-0414-01,"OP PAS,Crom.disp.comp.negative 1150ps/nm",TRUE,7458,USD,,,,,,,0
05-0415-01,"OP PAS,CDC FIB NEG 1200ps/nm 1532nm BW:B",TRUE,7791,USD,,,,,,,0
05-0416-01,"OP PAS,Crom.disp.comp.negative 1250ps/nm",TRUE,6748,USD,,,,,,,0
05-0417-01,"OP PAS,Crom.disp.comp.negative 1300ps/nm",TRUE,5563,USD,,,,,,,0
05-0418-01,"OP PAS,Crom.disp.comp.negative 1350ps/nm",TRUE,8230,USD,,,,,,,0
05-0423-01,"OP PAS,CDC FIB NEG 1400ps/nm 1532nm BW:B",TRUE,8191.27,USD,,,,,,,0
05-0424-01,"OP PAS,CDC FIB NEG 1450ps/nm 1532nm BW:B",TRUE,8007.33,USD,,,,,,,0
05-0427-01,"OP PAS,Crom.disp.comp.negative 900ps/nm-",TRUE,3334,USD,,,,,,,0
05-0428-01,"OP PAS,CDC FIB NEG 950ps/nm 1556nm BW:R",TRUE,3479,USD,,,,,,,0
05-0429-01,"OP PAS,CDC FIB NEG 1000ps/nm 1556nm BW:R",TRUE,4985,USD,,,,,,,0
05-0430-01,"OP PAS,CDC FIB NEG 1050ps/nm 1556nm BW:R",TRUE,3769,USD,,,,,,,0
05-0431-01,"OP PAS,CDC FIB NEG 1100ps/nm 1556nm BW:R",TRUE,3914,USD,,,,,,,0
05-0432-01,"OP PAS,Crom.disp.comp.negative 1150ps/nm",TRUE,5913,USD,,,,,,,0
05-0433-01,"OP PAS,CDC FIB NEG 1200ps/nm 1556nm BW:R",TRUE,6070,USD,,,,,,,0
05-0434-01,"OP PAS,Crom.disp.comp.negative 1250ps/nm",TRUE,4349,USD,,,,,,,0
05-0435-01,"OP PAS,Crom.disp.comp.negative 1300ps/nm",TRUE,4494,USD,,,,,,,0
05-0436-01,"OP PAS,CDC FIB NEG 1350ps/nm 1556nm BW:R",TRUE,4639,USD,,,,,,,0
05-0437-01,"OP PAS,Crom.disp.comp.negative 1400ps/nm",TRUE,7188,USD,,,,,,,0
